"prob.d","prob.c","tremble","tr(cc)","tr(cd)","tr(dc)","tr(dd)"
0,1,NA,2,6,6,6
0,1,NA,3,6,6,6
0,1,NA,4,6,6,6
0,1,NA,5,6,6,6
0,1,NA,6,6,6,6
1,0,NA,6,6,6,6
