"prob.d","prob.c","tremble","tr(cc)","tr(cd)","tr(dc)","tr(dd)"
0,1,NA,2,7,7,7
0,1,NA,3,7,7,7
0,1,NA,4,7,7,7
0,1,NA,5,7,7,7
0,1,NA,6,7,7,7
0,1,NA,7,7,7,7
1,0,NA,7,7,7,7
